grove_voc1,grove_no2,grove_eth,grove_co,ens_tvoc,ens_co2,temperature,pressure,altitude,humidity,"label
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98856.97,207.54,14.75,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98857.22,207.52,14.82,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98856.28,207.60,14.77,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98858.17,207.44,14.79,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.90,98854.83,207.72,14.80,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.90,98857.67,207.48,14.80,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.90,98855.78,207.64,14.80,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.90,98857.67,207.48,14.79,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.90,98856.82,207.55,14.79,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98857.49,207.50,14.79,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98857.75,207.47,14.77,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98858.27,207.43,14.77,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98858.10,207.44,14.74,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98857.07,207.53,14.76,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.91,98858.96,207.37,14.76,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.90,98856.46,207.58,14.80,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.90,98856.21,207.60,14.79,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.91,98858.52,207.41,14.75,"ambient
"
1.57,1.15,1.41,2.12,0.00,0.00,26.90,98859.39,207.33,14.77,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.91,98860.24,207.26,14.76,"ambient
"
1.58,1.16,1.41,2.12,0.00,0.00,26.90,98859.39,207.33,14.77,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.90,98858.79,207.38,14.77,"ambient
"
1.58,1.16,1.41,2.12,0.00,0.00,26.90,98856.82,207.55,14.77,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.90,98859.91,207.29,14.77,"ambient
"
1.58,1.15,1.41,2.12,0.00,0.00,26.90,98858.36,207.42,14.76,"ambient
"
1.58,1.16,1.41,2.12,0.00,0.00,26.91,98858.44,207.41,14.76,"ambient
"
1.58,1.16,1.41,2.12,0.00,0.00,26.91,98858.35,207.42,14.76,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98859.74,207.30,14.76,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98861.80,207.13,14.76,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98859.74,207.30,14.75,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98858.88,207.38,14.77,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98858.01,207.45,14.79,"ambient
"
1.57,1.16,1.41,2.11,0.00,0.00,26.90,98859.48,207.33,14.75,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98858.96,207.37,14.79,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98856.38,207.65,14.79,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98856.64,207.57,14.77,"ambient
"
1.57,1.16,1.41,2.11,0.00,0.00,26.90,98859.14,207.36,14.79,"ambient
"
1.58,1.16,1.41,2.11,0.00,0.00,26.90,98858.71,207.39,14.77,"ambient
"
1.57,1.16,1.41,2.11,0.00,0.00,26.90,98857.16,207.52,14.79,"ambient
"
